asin_id,canonical_week_id,dq_severity,dq_flags
B07NF8B82T,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B08BFBXQGZ,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B07NF7MFKX,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B079HN2V2D,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00D2PLAMW,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B0881M44V2,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00GKX89Q8,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00DIREC0Q,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00BLK5AKI,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B01IUM3B0A,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B001OY2T1O,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B08GD1Z9PS,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B003ZZABKG,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00X9MYZXO,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B08C1BXXXV,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B093YYK5DK,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B016BO717S,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B087GJVRRM,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B084MM248G,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B016BO719G,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B094P139XJ,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B07NF7ZFTL,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00RVQHYM8,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B07NY2VF7T,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00MCJ33M4,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B093YXPPWS,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00CAUABOS,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B087GJT9V6,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00HXHBC14,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B085CZKS45,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B000WGE26A,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B085CZX2GR,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B01L1DRDKO,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B07PC6J4YW,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B0014CXH1C,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B087GL45MC,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B019MQVWQ8,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B00L28D0QU,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
B07NCYJ63J,,Medium,"dq_unmapped_week,dq_missing_category,dq_unknown_vendor,dq_buyability_missing,dq_missing,dq_severity"
