raw_week_label,week_label,week_start,week_end,year,week_number,month_number,month_label,quarter_label,display_label
2019W12,2019W12,2019-03-17,2019-03-23,2019,12,3,Mar 2019,Q1,2019 Week 12
2019W13,2019W13,2019-03-24,2019-03-30,2019,13,3,Mar 2019,Q1,2019 Week 13
2019W14,2019W14,2019-03-31,2019-04-06,2019,14,3,Mar 2019,Q1,2019 Week 14
2019W15,2019W15,2019-04-07,2019-04-13,2019,15,4,Apr 2019,Q2,2019 Week 15
2019W16,2019W16,2019-04-14,2019-04-20,2019,16,4,Apr 2019,Q2,2019 Week 16
2019W17,2019W17,2019-04-21,2019-04-27,2019,17,4,Apr 2019,Q2,2019 Week 17
2019W18,2019W18,2019-04-28,2019-05-04,2019,18,4,Apr 2019,Q2,2019 Week 18
2019W19,2019W19,2019-05-05,2019-05-11,2019,19,5,May 2019,Q2,2019 Week 19
2019W20,2019W20,2019-05-12,2019-05-18,2019,20,5,May 2019,Q2,2019 Week 20
2019W21,2019W21,2019-05-19,2019-05-25,2019,21,5,May 2019,Q2,2019 Week 21
2019W22,2019W22,2019-05-26,2019-06-01,2019,22,5,May 2019,Q2,2019 Week 22
2019W23,2019W23,2019-06-02,2019-06-08,2019,23,6,Jun 2019,Q2,2019 Week 23
2019W24,2019W24,2019-06-09,2019-06-15,2019,24,6,Jun 2019,Q2,2019 Week 24
2019W25,2019W25,2019-06-16,2019-06-22,2019,25,6,Jun 2019,Q2,2019 Week 25
2019W26,2019W26,2019-06-23,2019-06-29,2019,26,6,Jun 2019,Q2,2019 Week 26
2019W27,2019W27,2019-06-30,2019-07-06,2019,27,6,Jun 2019,Q2,2019 Week 27
2019W28,2019W28,2019-07-07,2019-07-13,2019,28,7,Jul 2019,Q3,2019 Week 28
2019W29,2019W29,2019-07-14,2019-07-20,2019,29,7,Jul 2019,Q3,2019 Week 29
2019W30,2019W30,2019-07-21,2019-07-27,2019,30,7,Jul 2019,Q3,2019 Week 30
2019W31,2019W31,2019-07-28,2019-08-03,2019,31,7,Jul 2019,Q3,2019 Week 31
